,Product_Num,Est_Demand_All_Years
209,SH468,21.3
210,SH065,24.37142857142857
211,SH215,19.614285714285714
212,SH318,24.1
213,SH345,24.5
214,SH097,21.87142857142857
215,SH088,21.17142857142857
216,SH195,25.242857142857144
217,SH453,23.542857142857144
218,SH124,24.614285714285714
219,SH147,19.957142857142856
220,SH219,24.071428571428573
221,SH503,20.62857142857143
222,SH430,21.5
223,SH541,16.9
224,SH165,23.0
225,SH395,22.957142857142856
226,SH391,23.771428571428572
227,SH238,22.571428571428573
228,SH499,21.014285714285716
229,SH421,20.82857142857143
230,SH255,23.9
231,SH183,23.571428571428573
232,SH392,19.214285714285715
233,SH472,22.642857142857142
234,SH172,21.428571428571427
235,SH448,23.071428571428573
236,SH023,20.771428571428572
237,SH376,24.314285714285713
238,SH360,25.542857142857144
